window_size,batch_size,epochs,hidden_layers,hidden_size,shuffle,best_loss,avg_test_loss,avg_train_loss
16,32,150,3,16,True,[2.00103722],2.007903836142418,2.0204814494035617
10,16,150,4,64,False,[2.00103754],2.0115933809339133,2.017080655301807
20,32,150,4,16,False,[2.00105018],2.026135383604022,2.042575506687975
10,16,150,3,32,False,[2.00109478],2.0142872430741754,2.0268204486029298
16,64,150,3,16,False,[2.00111047],2.01169043317958,2.0199247579780173
20,64,150,4,16,False,[2.00112141],2.0134658297481796,2.023189463011514
10,64,150,4,16,False,[2.00112295],2.0094847094507147,2.0167808175943307
16,16,150,4,16,True,[2.0011325],2.011878166285057,2.025595458037118
10,64,150,2,16,True,[2.00116967],2.0179063277128435,2.0344778861783137
10,32,150,2,32,False,[2.00117647],2.0072760892128434,2.015878679444816
20,64,150,3,16,False,[2.00121687],2.0065372411400304,2.016507281513383
10,32,150,4,16,False,[2.00122895],2.0172342578606632,2.0294234591987714
10,32,150,3,16,True,[2.00126606],2.010983018016409,2.0222058907969025
16,32,150,2,32,False,[2.00129719],2.007394235705891,2.021303459166446
10,16,150,4,16,True,[2.00132819],2.0108303209078056,2.0230914384748613
20,64,150,3,16,True,[2.00134739],2.114412277334315,2.1290904053820303
16,16,150,4,64,False,[2.0013701],2.0178718472552237,2.0256658712019386
10,16,150,3,16,False,[2.00137394],2.0183258793449173,2.032302227041043
10,16,150,3,16,True,[2.00138131],2.0304815264496066,2.0554485761906482
20,16,150,2,16,True,[2.00140194],2.0098163022965982,2.024407480159408
16,32,150,2,16,False,[2.00140367],2.0115864396457734,2.0266813662486745
20,32,150,3,16,True,[2.00142698],2.0256586005580988,2.0476991053195284
10,16,150,2,16,True,[2.0014387],2.0089069530744803,2.028780148449485
16,16,150,4,32,False,[2.00144771],2.013838765704812,2.0248043305299728
16,16,150,3,64,False,[2.00147475],2.0170321359042833,2.02690726671354
10,32,150,3,16,False,[2.00147867],2.0158163261181454,2.027918142494518
10,16,150,2,64,False,[2.00157857],2.011534165842452,2.0219874218323777
20,16,150,3,64,False,[2.00168928],2.0140888300493303,2.025108259551384
16,16,150,2,64,False,[2.00175038],2.0134607096360297,2.017954831185298
20,32,150,2,32,False,[2.00179143],2.0097179779176995,2.0181148034769203
10,16,150,2,32,False,[2.00180807],2.008535398128068,2.019667748731598
20,32,150,2,16,False,[2.00184383],2.028951210847299,2.048951374956574
10,16,150,4,32,False,[2.00189068],2.014831712449349,2.023639410074027
20,16,150,4,64,False,[2.00189259],2.0142996300097735,2.020415237282614
20,16,150,2,64,False,[2.00199639],2.0127405969204712,2.0219562178868213
10,32,150,2,16,False,[2.00204058],2.0185473150942443,2.033439815651705
20,64,150,2,16,False,[2.00205238],2.0269426397198034,2.043598742466498
16,32,150,3,16,False,[2.00216071],2.015033828410806,2.0272365892938207
10,16,150,2,16,False,[2.00234842],2.021622730816205,2.0491829746592747
20,16,150,4,32,False,[2.00240181],2.0185648115997683,2.028542610306094
20,16,150,3,16,False,[2.00268601],2.0168399247831146,2.0359394065102143
20,16,150,2,16,False,[2.00274729],2.0355309510765807,2.0681600291118913
16,16,150,2,32,False,[2.00276396],2.0125474079371295,2.0238563554990425
20,16,150,3,32,False,[2.00276785],2.0148739330621623,2.0268297842195646
16,16,150,3,32,False,[2.00297177],2.0135886928302797,2.024217258177997
16,16,150,2,16,False,[2.00316919],2.033162736924331,2.0724093530183065
16,16,150,3,16,False,[2.00317441],2.015480397799813,2.0289392648683546
20,16,150,4,16,False,[2.00317523],2.0165368277736957,2.032227568848777
20,16,150,2,32,False,[2.00323922],2.0192700986898533,2.030290454807962
16,16,150,4,16,False,[2.00478792],2.019000559985277,2.0332522717570938
10,16,150,4,16,False,[2.00488869],2.0424521596799807,2.081897923099594
